|URL|Version|
|surftravel.staging.webqem.net|3.5.1|
|sweetbonescompany.com|3.4.1|
|swell.swelldev.com.au|1.12.4|
|swelldesigngroup.com|1.12.4|
|swelldesigngroup.com.au|1.12.4|
|swelldev.com.au|N/A|
|tarahunter.com.au|N/A|
|team2.staging.webqem.net|3.5.1|
|thecrossingapartments.com.au|1.12.4|
|thefoothills.swelldev.com.au|3.5.1|
|thefoothillscampbell.com.au|3.5.1|
|thefunctionroom.com.au|3.5.1|
|thehuskypub.com.au|3.5.1|
|themelrose.swelldev.com.au|3.4.1|
|theparksredhill.com.au|3.6.0|
|theparksredhill.swelldev.com.au|3.5.1|
|theprofessionallandscapers.com.au|2.2.4|
|thestorenewcastle.com.au|1.12.4|
|thesugardeli.com.au|N/A|
|theswayn.com.au|1.12.4|
|threemillsbakery.com.au|3.4.1|
|threemillsbakery.newbestfriend.com.au|TIMEOUT|
|tonyredhead.photography|1.11.1|
|training.aitgb.com.au|3.6.0|
|ts.webqem.com|N/A|
|tsc.webqem.com|N/A|
|uk.mfgam.com.au|3.6.0|
|understandingmaths.com|1.12.4|
|upgrade.giftingm2.webqem.net|1.12.4|
|upgrade.shortysm2.webqem.net|1.12.4|
|urbanrange.staging.webqem.net|2.2.4|
|us.mfgam.com.au|3.6.0|
|veeps.weareexplorers.co|N/A|
|verdantweston.com.au|3.4.1|
|we.bqe.ms|3.6.0|
|weareexplorers.co|3.5.1|
|webqem.staging.webqem.net|3.6.0|
|weddings.hotelrealm.com.au|3.4.1|
|wewillvouchforyou.net.au|TIMEOUT|
|wine.com.au|N/A|
|wine.com.au|N/A|
|www.abroearth.com|N/A|
|www.adventureanglertv.com|1.4.1|
|www.aestheticdaysurgery.com.au|3.6.0|
|www.airlieaustraliansharefund.com.au|2.2.2|
|www.australianart.gov.au|3.3.1|
|www.australiancurriculumsupplies.com.au|1.12.4|
|www.australianprints.gov.au|3.3.1|
|www.bablgroupaction.com|3.4.1|
|www.bishopsgateapartments.com.au|1.11.3|
|www.brooks.com.au|2.2.4|
|www.burpees4boobs.com|3.0.0-alpha1+compat|
|www.burpees4boobs.com.au|3.0.0-alpha1+compat|
|www.canterburyolympicicerink.org.au|2.2.4|
|www.childersgroup.com.au|3.5.1|
|www.clearbridgeinvestments.com.au|3.5.1|
|www.clintoncapitalpartners.com.au|2.2.4|
|www.collaborativedesignspace.com.au|3.6.0|
|www.cooperinvestors.com|3.5.1|
|www.coroneos.com.au|1.12.4|
|www.cwsp.com.au|N/A|
|www.ddtech.com|3.4.1|
|www.ddtechglobal.com|1.12.4|
|www.discountpartysupplies.com.au|1.12.4|
|www.drdarrellperkins.com.au|1.12.4|
|www.durham.com.au|1.8.3|
|www.eastpizza.com.au|N/A|
|www.equazen.co.uk|3.3.1|
|www.equazen.com|3.3.1|
|www.eyecareplus.com.au|N/A|
|www.fidelity.com.au|3.6.0|
|www.fivesenseseducation.com.au|1.12.4|
|www.fivesenseseducation.com.au|1.12.4|
|www.flordis.com.au|3.3.1|
|www.formstar.com|1.5.1|
|www.gowgates.com.au|3.2.1|
|www.indigenousaccountants.com.au|1.9.0|
|www.investing.commsecadviserservices.com.au|3.6.0|
|www.jdlighting.com.au|1.12.4|
|www.killclimatedeniers.com|3.5.1|
|www.kokodatreks.com|2.2.2|
|www.larryadler.com|1.12.4|
|www.leadglassandshielding.com|3.5.1|
|www.leahbridesonarts.com.au|3.5.1|
|www.lesterbrand.com.au|1.12.1|
|www.likefatherlikeson.com.au|2.2.4|
|www.magellangroup.com.au|3.6.0|
|www.mattiejgould.com.au|1.12.4|
|www.medline.com.au|1.12.4|
|www.melanoma.org.au|1.11.0|
|www.mffcapital.com.au|3.3.1|
|www.mfgcoreseries.com.au|2.2.2|
|www.miles.com.au|2.2.4|
|www.millertripods.com|1.12.4|
|www.mitchellam.com|3.5.1|
|www.myendnotes.com|3.5.1|
|www.nationalgallery.com.au|3.3.1|
|www.nationalgallery.gov.au|3.3.1|
|www.newbestfriend.com.au|3.4.1|
|www.nickamc.com|1.12.4|
|www.octoberbreast.com.au|N/A|
|www.onmarket.com.au|1.11.2|
|www.performancehub.net.au|3.5.1|
|www.phoenixeduc.com|1.12.4|
|www.phoenixeducation.com.au|1.12.4|
|www.pmcapital.com.au|3.4.1|
|www.precisionstrata.com.au|3.5.1|
|www.riverviewfarm.com.au|1.12.4|
|www.rvpartsexpress.com.au|1.12.4|
|www.sbcf.org.au|3.5.1|
|www.sfihealth.com|1.7.2|
|www.sipc.org.au|3.4.1|
|www.slongmuir.com.au|3.5.1|
|www.superfoiler.com|3.6.0|
|www.surftravel.com.au|3.5.1|
|www.swelldesigngroup.com.au|1.12.4|
|www.sydneyslice.com|1.7.1|
|www.tapexindustrial.com.au|3.6.0|
|www.team2.com.au|3.5.1|
|www.thegreenpipesydney.com.au|N/A|
|www.thenameisplanted.com.au|N/A|
|www.thenextpair.com.au|1.12.4|
|www.thepoolserviceco.com.au|2.2.4|
|www.tobysestate.com.sg|3.6.0|
|www.understandingmaths.com|1.12.4|
|www.urbanrange.com.au|2.2.4|
|www.veepshosting.com|3.6.0|
|www.villamaraufiji.com.fj|1.5|
|www.wearethesocialclub.com.au|N/A|
|www.webqem.com|3.6.0|
|xtbs.com.au|1.11.0|
|ybrfm.com.au|3.6.0|
|ynet.ybr.com.au|1.11.1|
|ynext.ybr.com.au|1.11.1|
|youareherecanberra.com.au|3.4.1|
|ywca-canberra.org.au|1.12.4|
|ywca-computerclubhouse.org.au|1.12.4|
